Source,Target,Type,id,label,timeset,weight
ss_may5,ausgrandprix,Directed,1528,,,1.0
ss_may5,redbullracing,Directed,1529,,,1.0
ss_may5,f1,Directed,1530,,,1.0
ss_may5,sebvettelnews,Directed,1531,,,1.0
ss_may5,gianludale27,Directed,1532,,,1.0
elegbete1,mercedesamgf1,Directed,1536,,,1.0
ferrarinelcuore,maui27575,Directed,1545,,,1.0
ferrarinelcuore,formulahumor,Directed,1546,,,1.0
72kareem,svandoorne,Directed,1566,,,1.0
72kareem,mclarenf1,Directed,1567,,,1.0
72kareem,andersonlaura12,Directed,1568,,,1.0
rvmaarseveen,redbullracing,Directed,1571,,,1.0
rvmaarseveen,max33verstappen,Directed,1572,,,1.0
rvmaarseveen,f1,Directed,1573,,,1.0
clarosports,clarosports,Directed,1575,,,1.0
luxuschrono,f1,Directed,1577,,,1.0
luxuschrono,forceindiaf1,Directed,1578,,,1.0
luxuschrono,mercedesamgf1,Directed,1579,,,1.0
luxuschrono,nico_rosberg,Directed,1580,,,1.0
fc3srx7rx7,sebvettelnews,Directed,1591,,,1.0
fc3srx7rx7,f1gate,Directed,1592,,,1.0
fc3srx7rx7,scuderiaferrari,Directed,1593,,,1.0
fc3srx7rx7,f1,Directed,1594,,,1.0
jamirocali,mercedesamgf1,Directed,1609,,,1.0
jamirocali,scuderiaferrari,Directed,1610,,,1.0
jamirocali,formulahumor,Directed,1611,,,1.0
william50386522,mercedesamgf1,Directed,1617,,,1.0
william50386522,valtteribottas,Directed,1618,,,1.0
california458,forceindiaf1,Directed,1638,,,1.0
california458,alo_oficial,Directed,1639,,,1.0
california458,f1,Directed,1640,,,1.0
california458,oconesteban,Directed,1641,,,1.0
pieroladisa,pieroladisa,Directed,1643,,,1.0
eli_valli,oconesteban,Directed,1650,,,1.0
eli_valli,forceindiaf1,Directed,1651,,,1.0
eli_valli,f1,Directed,1652,,,1.0
mjeedalhidan,scuderiaferrari,Directed,1653,,,1.0
mjeedalhidan,f1,Directed,1654,,,1.0
mjeedalhidan,wtf1official,Directed,1655,,,1.0
stevestevens47,haasf1team,Directed,1661,,,1.0
stevestevens47,paddylowe,Directed,1663,,,1.0
stevestevens47,stevestevens47,Directed,1664,,,1.0
stevestevens47,sauberf1team,Directed,1665,,,1.0
stevestevens47,ericsson_marcus,Directed,1666,,,1.0
stevestevens47,anto_giovinazzi,Directed,1667,,,1.0
stevestevens47,renaultsportf1,Directed,1668,,,1.0
stevestevens47,hulkhulkenberg,Directed,1669,,,1.0
