id,label,timeset,followed,followers,tweets,favorites,time zone,componentnumber,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,strongcompnum,pageranks,clustering,eigencentrality
mashiromartinez,mashiromartinez,,2516,425,8023,7775,Eastern Time (US & Canada),0,3,0,6,6,0.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.06861029,280,7.349083140198683E-4,0.03333333507180214,0.0
totalplayco,totalplayco,,2063,421,27756,5889,Hawaii,0,0,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.028320864,281,7.349083140198683E-4,0.0,0.0
essaarmsport,essaarmsport,,718,416,87,29,,0,1,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0013121736,0.0,118,0.0017634643550568751,0.3333333432674408,0.01604494764991314
rojasandreaj,rojasandreaj,,276,412,46891,2837,Eastern Time (US & Canada),0,7,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.028238134,282,7.349083140198683E-4,0.1666666716337204,0.0
noawyne,noawyne,,260,411,7271,5300,Perth,0,8,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.05540547,283,7.349083140198683E-4,0.1666666716337204,0.0
jeantonnerot,jeantonnerot,,339,410,37900,621,,0,3,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.111592E-4,284,7.349083140198683E-4,0.0,0.0
1972boro,1972boro,,188,408,19612,55309,,0,0,0,6,6,0.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.06635638,285,7.349083140198683E-4,0.03333333507180214,0.0
martincandiab,martincandiab,,674,403,569,91,,0,7,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.0023295209,286,7.349083140198683E-4,0.0,0.0
kate_samayoa,kate_samayoa,,338,391,12015,22811,,0,3,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.059837505,287,7.349083140198683E-4,0.0833333358168602,0.0
rc_xtr3m,rc_xtr3m,,733,389,14832,14828,Paris,0,3,0,7,7,0.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.03326465,289,7.349083140198683E-4,0.0476190485060215,0.0
corra_davide,corra_davide,,714,388,15058,6779,Rome,0,2,1,2,3,1.0,2.0,3.0,2.0,0.6,0.6666666666666666,0.0,0.0,0.0142075615,290,0.0012783528723108596,0.5,0.004165584184120854
23senna,23senna,,421,382,13320,7429,,0,3,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.02914263,291,7.349083140198683E-4,0.0,0.0
williammwangi,williammwangi,,466,382,8874,6217,Quito,0,2,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.034615006,292,7.349083140198683E-4,0.1666666716337204,0.0
