Source;Target;weight
drifdk;michaelcarus0;1.0
drifdk;toddkellyracing;1.0
drifdk;nissan_msport;1.0
robertobaann;mercedesamgf1;1.0
robertobaann;lewishamilton;1.0
robertobaann;valtteribottas;1.0
robertobaann;scuderiaferrari;1.0
cheekycorini;ausgrandprix;1.0
cheekycorini;tororossospy;1.0
cheekycorini;danielricciardo;1.0
cheekycorini;max33verstappen;1.0
cheekycorini;redbullracing;1.0
ikolataworld;scuderiaferrari;1.0
ikolataworld;f1;1.0
ikolataworld;ikolataworld;1.0
samuelpalummo;skysportf1hd;1.0
samuelpalummo;f1rai;1.0
samuelpalummo;f1;1.0
samuelpalummo;scuderiaferrari;1.0
allvpologjes;scuderiafe;1.0
allvpologjes;sebvettelnews;1.0
allvpologjes;vettel_formel1;1.0
natan_silva77;skysportsf1;1.0
natan_silva77;lewishamilton;1.0
natan_silva77;mercedesamgf1;1.0
natan_silva77;williamsracing;1.0
labebekiss;lewishamilton;1.0
labebekiss;mercedesamgf1;1.0
espectadepor;scuderiaferrari;1.0
espectadepor;f1;1.0
espectadepor;sebvettelnews;1.0
lean_tperez;lewishamilton;1.0
lean_tperez;mercedesamgf1;1.0
lean_tperez;ausgrandprix;1.0
lean_tperez;f1;1.0
wagnercabbral;allthingsvettel;1.0
wagnercabbral;sebvettelnews;1.0
wagnercabbral;mralexf1;1.0
alycienta_44;scuderiaferrari;1.0
alycienta_44;f1;1.0
rach_f1;rach_f1;1.0
tokyo_to_japan;hondaracingf1;1.0
tokyo_to_japan;mclarenf1;1.0
tokyo_to_japan;scuderiaferrari;1.0
tokyo_to_japan;f1;1.0
jyc73;ausgrandprix;1.0
jyc73;f1;1.0
jyc73;scuderiaferrari;1.0
filhopaulo2012;mercedesamgf1;1.0
filhopaulo2012;formulahumor;1.0
filhopaulo2012;allthingsvettel;1.0
odamax41;f1;1.0
matazaleras97;matazaleras97;1.0
pratmech;oconesteban;1.0
pratmech;forceindiaf1;1.0
pratmech;f1;1.0
pratmech;scuderiaferrari;1.0
joyman007;joyman007;1.0
joyman007;mercedesamgf1;1.0
isabells7;oconesteban;1.0
isabells7;forceindiaf1;1.0
isabells7;f1;1.0
isabells7;tororossospy;1.0
isabells7;kvyatofficial;1.0
isabells7;svandoorne;1.0
jeseluna8;a3formula1;1.0
jeseluna8;jeseluna8;1.0
francovicente4;telemetricof1;1.0
francovicente4;f1;1.0
francovicente4;ausgrandprix;1.0
lewis_angelo;movistar_f1;1.0
lewis_angelo;noemidemiguel;1.0
lewis_angelo;pirellisport;1.0
elegbete1;valtteribottas;1.0
