id;label;timeset;followed;followers;tweets;favorites;time zone
explenture;explenture;;943;582;30477;32;America/New_York
dennybartowski;dennybartowski;;788;579;15069;431;Madrid
_dieciagosto;_dieciagosto;;1818;576;48549;74276;Rome
humbertodarold;humbertodarold;;1647;575;6842;7080;
atljie;atljie;;938;571;26770;3613;Madrid
mauro_serafin;mauro_serafin;;1462;568;16258;4336;Rome
videsjavi;videsjavi;;352;566;103797;80432;
scotland2888;scotland2888;;616;552;39929;23876;London
oz_f1_motogp;oz_f1_motogp;;177;551;24146;2060;Adelaide
hzq_hzmn;hzq_hzmn;;170;548;41592;497;Kuala Lumpur
william50386522;william50386522;;5001;541;6685;13046;
mjeedalhidan;mjeedalhidan;;191;539;38144;2951;Riyadh
wagnercabbral;wagnercabbral;;1327;535;89841;158;Santiago
tandarica48;tandarica48;;9;529;19751;27884;Amsterdam
nori_333;nori_333;;1028;524;18137;5370;Tokyo
delaclarinette;delaclarinette;;987;521;7621;2415;Athens
kaikgrig;kaikgrig;;421;517;3915;6151;Quito
carvajavo;carvajavo;;1643;517;5456;491;Central America
fia_formula_1;fia_formula_1;;2475;506;497;17;Pacific Time (US & Canada)
jeseluna8;jeseluna8;;390;504;9399;4941;Mexico City
john_stickel;john_stickel;;102;501;150332;134897;Bern
htswjgblues1;htswjgblues1;;675;499;128402;4440;Tokyo
jgrodriguesf;jgrodriguesf;;336;497;15395;1815;Madrid
goodwoodmar5hal;goodwoodmar5hal;;681;490;4184;2692;
f1_paraguay;f1_paraguay;;789;484;4130;320;Brasilia
camigl10;camigl10;;303;479;98;14319;Eastern Time (US & Canada)
matazaleras97;matazaleras97;;378;478;19419;64321;Madrid
nadalvettel;nadalvettel;;510;476;9076;2446;
negro_piero;negro_piero;;584;466;4317;11497;
carolbrnal;carolbrnal;;957;456;29981;86572;Hawaii
cdl450tvr;cdl450tvr;;1818;453;7233;2145;
aniketkhomane;aniketkhomane;;247;450;20976;11;
io_miky;io_miky;;326;448;49641;19148;Sydney
julien_f1;julien_f1;;559;444;1539;64;Amsterdam
f1fanster1217;f1fanster1217;;2708;440;2431;1842;
ivanngfok;ivanngfok;;369;435;19917;786;Buenos Aires
naz3em;naz3em;;191;426;82414;3498;
mashiromartinez;mashiromartinez;;2516;425;8023;7775;Eastern Time (US & Canada)
ikolataworld;ikolataworld;;356;425;32175;53827;Athens
totalplayco;totalplayco;;2063;421;27756;5889;Hawaii
essaarmsport;essaarmsport;;718;416;87;29;
