type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_152605961465739	152605961465739_1024197387639921	https://www.facebook.com/152605961465739/posts/1024197387639921						2015-12-28T17:18:12+0000	1451323092	"2015-12-28 18:18:12"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1023671724359154	https://www.facebook.com/152605961465739/posts/1023671724359154						2015-12-27T15:49:55+0000	1451231395	"2015-12-27 16:49:55"	21	0	21	0	21	0	0	0	0	0	21	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1023485307711129	https://www.facebook.com/152605961465739/posts/1023485307711129						2015-12-27T07:17:07+0000	1451200627	"2015-12-27 08:17:07"	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1023138837745776	https://www.facebook.com/152605961465739/posts/1023138837745776						2015-12-26T13:15:23+0000	1451135723	"2015-12-26 14:15:23"	8	0	8	0	8	0	0	0	0	0	8	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1023063941086599	https://www.facebook.com/152605961465739/posts/1023063941086599						2015-12-26T09:11:18+0000	1451121078	"2015-12-26 10:11:18"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1022772937782366	https://www.facebook.com/152605961465739/posts/1022772937782366	"Feliz Natal e um próspero ano novo a todos os Monteoliva e Lobreños do mundo."					2015-12-25T17:03:13+0000	1451062993	"2015-12-25 18:03:13"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1022769811116012	https://www.facebook.com/152605961465739/posts/1022769811116012						2015-12-25T16:54:18+0000	1451062458	"2015-12-25 17:54:18"	19	0	19	0	19	0	0	0	0	0	19	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1022283314497995	https://www.facebook.com/152605961465739/posts/1022283314497995						2015-12-24T17:31:58+0000	1450978318	"2015-12-24 18:31:58"	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1022068287852831	https://www.facebook.com/152605961465739/posts/1022068287852831						2015-12-24T07:24:37+0000	1450941877	"2015-12-24 08:24:37"	7	0	7	0	7	0	0	0	0	0	7	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1022063871186606	https://www.facebook.com/152605961465739/posts/1022063871186606						2015-12-24T07:19:18+0000	1450941558	"2015-12-24 08:19:18"	9	0	9	0	9	0	0	0	0	0	9	0	0	0	0	0	0
