Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
managerchampion,managerchampion,12520,24228,21113,91,Brasilia
lucafilippilf,lucafilippilf,694,24202,5820,5971,Rome
tweenkapy,tweenkapy,146,24086,43228,36587,Brasilia
simplyf1,simplyf1,494,23720,32498,22,Hawaii
fabiancoulthard,fabiancoulthard,102,23684,5911,2307,Melbourne
ubsf1,ubsf1,158,23626,1617,530,Amsterdam
hp081380783912,hp081380783912,2648,23427,45752,1601,Novosibirsk
as_motor,as_motor,18,23418,23617,6,Madrid
aus_airforce,aus_airforce,1189,23081,11090,2920,Sydney
leeapplbaum,leeapplbaum,89,22525,6405,1594,Mountain Time (US & Canada)
epdeportes,epdeportes,651,22399,96535,191,Madrid
enricotornello,enricotornello,1071,22155,17467,1951,Buenos Aires
kristie_f1,kristie_f1,665,21762,30641,173284,Arizona
mara_sangiorgio,mara_sangiorgio,796,21570,3811,1660,Rome
rickkelly,rickkelly,123,21167,2201,1451,Melbourne
f1rtp,f1rtp,430,20979,33963,590,Lisbon
julien_febreau,julien_febreau,1621,20706,5654,3546,Paris
serhanacar,serhanacar,239,20531,15889,3424,Istanbul
labarra_mx,labarra_mx,647,20349,22321,3469,Mexico City
foreverstyles,foreverstyles,203,20321,77568,103,Amsterdam
all4,all4,1142,20256,3041,126,London
deporteslasexta,deporteslasexta,397,20245,40178,26,Madrid
bueuf1,bueuf1,887,20131,102256,23653,Madrid
iceman7news,iceman7news,1958,20070,6129,10008,Helsinki
suelan6,suelan6,3435,19981,5019,1819,London
becks_f1,becks_f1,9636,19847,151652,60041,Casablanca
elecodiario,elecodiario,680,19228,153506,179,Amsterdam
officialminis,officialminis,507,18995,31017,82,Madrid
f1writers,f1writers,736,18934,64989,15327,Madrid
simiveera,simiveera,292,18903,134248,58129,New Delhi
kaiebel,kaiebel,122,18746,2910,14,Amsterdam
richard_mille,richard_mille,356,18593,1944,3815,Paris
lagauchematuer,lagauchematuer,6222,18476,18708,5,Paris
aldolema_cl,aldolema_cl,1112,18074,23250,24042,Santiago
eintracht_eng,eintracht_eng,191,17799,10816,1269,Berlin
mverstappenfans,mverstappenfans,6506,17786,7455,9677,Pacific Time (US & Canada)
c0nvey,c0nvey,256,17682,2411,721,Pacific Time (US & Canada)
pirelliusa,pirelliusa,508,17633,3580,7766,Eastern Time (US & Canada)
xmattyg,xmattyg,190,17525,21155,7363,
_aarava,_aarava,521,17267,73789,29361,London
simply_formula,simply_formula,985,17240,77085,33229,Quito
cgrjunior,cgrjunior,937,17119,6401,2814,Buenos Aires
retof1,retof1,15453,17058,20131,12,Eastern Time (US & Canada)
carsales,carsales,1774,17003,7468,588,Melbourne
gtspirit,gtspirit,227,16994,58707,26,London
pierregasly,pierregasly,317,16990,1733,7774,
icultweet,icultweet,9635,16933,12832,7937,
thomassenecal,thomassenecal,780,16609,2281,33,
trendinaliamy,trendinaliamy,43,16547,185827,1,Kuala Lumpur
fulviogiuliani,fulviogiuliani,3265,16472,26136,38724,
capitalmx_,capitalmx_,874,16324,61463,20725,
unfair_play,unfair_play,98,16318,3428,0,
pitcrew_online,pitcrew_online,4598,15744,57370,26854,London
w_ill254,w_ill254,13353,15737,3972,741,
racinghumour,racinghumour,337,15646,3997,3059,London
mfranco_as,mfranco_as,1398,15545,41153,308,Madrid
krissrecinos,krissrecinos,1368,15488,27493,13322,Central Time (US & Canada)
saanndhu,saanndhu,134,15433,45650,11,New Delhi
alfaromeoit,alfaromeoit,228,15421,193,696,Amsterdam
mikiharuna,mikiharuna,273,15327,26350,1862,Hawaii
elbloggergp,elbloggergp,4981,15300,12209,256,Mexico City
rich_kruse,rich_kruse,15239,15204,31243,55422,Eastern Time (US & Canada)
zbrownceo,zbrownceo,416,15175,318,9,London
